iter	Passed	Remaining
405	5147	7530
406	5159	7516
407	5164	7494
408	5175	7478
409	5181	7456
410	5192	7440
411	5198	7418
412	5208	7403
413	5214	7381
414	5225	7365
415	5231	7343
416	5241	7327
417	5247	7306
418	5258	7291
419	5263	7269
420	5274	7253
421	5280	7232
422	5290	7217
423	5296	7195
424	5307	7180
425	5312	7158
426	5323	7143
427	5329	7122
428	5339	7107
429	5345	7086
430	5356	7071
431	5361	7050
432	5372	7035
433	5379	7015
434	5388	6998
435	5394	6978
436	5404	6962
437	5410	6941
438	5421	6928
439	5427	6908
440	5436	6891
441	5443	6871
442	5452	6855
443	5458	6835
444	5468	6820
445	5475	6800
446	5485	6786
447	5492	6767
448	5502	6752
449	5509	6733
450	5519	6718
451	5525	6698
452	5535	6683
453	5541	6663
454	5552	6650
455	5558	6630
456	5567	6615
457	5573	6595
458	5583	6581
459	5589	6561
460	5600	6547
461	5606	6528
462	5616	6513
463	5621	6494
464	5631	6478
465	5636	6459
466	5642	6440
467	5650	6423
468	5656	6404
469	5666	6389
470	5672	6371
471	5681	6356
472	5687	6337
473	5698	6323
474	5705	6306
475	5715	6291
476	5721	6273
477	5731	6259
478	5738	6241
479	5750	6229
480	5756	6211
481	5767	6198
482	5783	6191
483	5798	6182
484	5811	6170
485	5834	6170
486	5851	6164
487	5868	6157
488	5884	6149
489	5902	6143
490	5918	6135
491	5934	6127
492	5946	6115
493	5957	6101
494	5969	6089
495	5982	6079
496	5991	6064
497	6035	6084
498	6081	6105
499	6132	6132
500	6146	6121
501	6165	6116
502	6184	6110
503	6200	6101
504	6214	6091
505	6230	6082
506	6243	6071
507	6252	6055
508	6264	6043
509	6278	6032
510	6286	6016
511	6298	6003
512	6313	5993
513	6328	5983
514	6336	5967
515	6348	5954
516	6362	5944
517	6378	5935
518	6393	5925
519	6401	5909
520	6414	5896
521	6429	5887
522	6444	5877
523	6460	5868
524	6474	5858
525	6487	5845
526	6497	5831
527	6511	5820
528	6527	5812
529	6542	5801
530	6556	5790
531	6566	5776
532	6579	5764
533	6595	5755
534	6607	5743
535	6622	5732
536	6636	5721
537	6644	5705
538	6654	5691
539	6661	5674
540	6675	5663
541	6690	5653
542	6707	5645
543	6723	5635
544	6734	5621
545	6742	5606
546	6757	5596
547	6770	5584
548	6784	5573
549	6800	5563
550	6816	5554
551	6831	5544
552	6845	5533
553	6853	5517
554	6867	5506
555	6884	5497
556	6899	5487
557	6916	5478
558	6924	5462
559	6937	5451
560	6952	5440
561	6967	5430
562	6982	5420
563	6998	5410
564	7014	5400
565	7031	5391
566	7046	5381
567	7062	5371
568	7072	5357
569	7086	5346
570	7097	5332
571	7103	5315
572	7111	5299
573	7118	5282
574	7123	5265
575	7131	5249
576	7137	5232
577	7147	5218
578	7154	5201
579	7163	5187
580	7172	5172
581	7183	5159
582	7195	5146
583	7202	5130
584	7211	5115
585	7217	5098
586	7225	5083
587	7231	5066
588	7237	5050
589	7247	5036
590	7253	5019
591	7261	5004
592	7268	4988
593	7276	4973
594	7283	4957
595	7290	4941
596	7297	4925
597	7303	4909
598	7310	4893
599	7316	4877
600	7324	4862
601	7333	4848
602	7343	4834
603	7350	4818
604	7359	4805
605	7365	4789
606	7374	4774
607	7383	4760
608	7392	4746
609	7398	4730
610	7406	4715
611	7412	4699
612	7418	4683
613	7426	4669
614	7432	4653
615	7441	4638
616	7447	4622
617	7455	4608
618	7461	4592
619	7468	4577
620	7475	4562
621	7482	4547
622	7490	4533
623	7496	4517
624	7505	4503
625	7511	4487
626	7518	4472
627	7524	4457
628	7530	4441
629	7539	4427
630	7545	4412
631	7553	4398
632	7560	4383
633	7566	4367
634	7572	4352
635	7578	4337
636	7586	4323
637	7595	4309
638	7603	4295
639	7609	4280
640	7616	4265
641	7622	4250
642	7628	4235
643	7637	4221
644	7643	4206
645	7651	4192
646	7657	4177
647	7663	4162
648	7670	4148
649	7676	4133
650	7684	4119
651	7691	4105
652	7701	4092
653	7707	4077
654	7713	4062
655	7719	4048
656	7725	4033
657	7735	4020
658	7741	4005
659	7748	3991
660	7754	3976
661	7760	3962
662	7767	3948
663	7773	3933
664	7782	3920
665	7788	3905
666	7794	3891
667	7804	3878
668	7811	3864
669	7819	3851
670	7826	3837
671	7834	3824
672	7840	3809
673	7848	3796
674	7854	3781
675	7861	3767
676	7867	3753
677	7873	3739
678	7882	3726
679	7888	3712
680	7896	3698
681	7904	3685
682	7912	3672
683	7919	3658
684	7924	3644
685	7933	3631
686	7939	3617
687	7948	3604
688	7954	3590
689	7962	3577
690	7971	3564
691	7979	3551
692	7986	3538
693	7994	3524
694	8000	3510
695	8005	3496
696	8013	3483
697	8020	3470
698	8029	3457
699	8035	3443
700	8042	3430
701	8048	3416
702	8054	3402
703	8061	3389
704	8067	3375
705	8074	3362
706	8081	3349
707	8087	3335
708	8095	3322
709	8101	3309
710	8109	3296
711	8118	3283
712	8128	3271
713	8134	3258
714	8142	3245
715	8148	3232
716	8154	3218
717	8161	3205
718	8167	3191
719	8176	3179
720	8182	3166
721	8189	3153
722	8195	3139
723	8201	3126
724	8208	3113
725	8218	3101
726	8226	3089
727	8232	3075
728	8240	3063
729	8246	3050
730	8252	3036
731	8259	3023
732	8265	3010
733	8274	2998
734	8280	2985
735	8286	2972
736	8292	2959
737	8298	2946
738	8306	2933
739	8312	2920
740	8319	2907
741	8328	2895
742	8336	2883
743	8342	2870
744	8348	2857
745	8356	2845
746	8362	2832
747	8372	2820
748	8378	2807
749	8384	2794
750	8390	2781
751	8396	2769
752	8403	2756
753	8409	2743
754	8415	2730
755	8423	2718
756	8429	2706
757	8437	2693
758	8443	2680
759	8450	2668
760	8456	2655
761	8463	2643
762	8474	2632
763	8480	2619
764	8486	2606
765	8492	2594
766	8499	2581
767	8505	2569
768	8511	2556
769	8520	2545
770	8526	2532
771	8533	2520
772	8542	2508
773	8550	2496
774	8556	2484
775	8562	2471
776	8570	2459
777	8576	2447
778	8584	2435
779	8590	2422
780	8596	2410
781	8602	2398
782	8608	2385
783	8618	2374
784	8624	2362
785	8632	2350
786	8640	2338
787	8648	2326
788	8654	2314
789	8660	2302
790	8668	2290
791	8674	2278
792	8682	2266
793	8688	2254
794	8695	2242
795	8701	2229
796	8707	2217
797	8715	2206
798	8721	2194
799	8728	2182
800	8734	2170
801	8740	2157
802	8748	2146
803	8756	2134
804	8766	2123
805	8772	2111
806	8780	2099
807	8786	2087
808	8792	2075
809	8798	2063
810	8804	2051
811	8812	2040
812	8818	2028
813	8824	2016
814	8831	2004
815	8836	1992
816	8844	1981
817	8853	1969
818	8862	1958
819	8868	1946
820	8875	1934
821	8881	1923
822	8886	1911
823	8894	1899
824	8900	1887
825	8905	1876
826	8913	1864
827	8919	1852
828	8927	1841
829	8932	1829
830	8939	1817
831	8945	1806
832	8951	1794
833	8959	1783
834	8968	1772
835	8976	1760
836	8982	1749
837	8988	1737
838	8994	1726
839	9000	1714
840	9010	1703
841	9017	1692
842	9025	1680
843	9031	1669
844	9037	1657
845	9044	1646
846	9049	1634
847	9058	1623
848	9066	1612
849	9075	1601
850	9081	1590
851	9088	1578
852	9093	1567
853	9100	1555
854	9108	1544
855	9114	1533
856	9122	1522
857	9128	1510
858	9134	1499
859	9141	1488
860	9148	1476
861	9158	1466
862	9164	1454
863	9172	1443
864	9181	1432
865	9188	1421
866	9194	1410
867	9200	1399
868	9208	1388
869	9214	1376
870	9222	1365
871	9228	1354
872	9233	1343
873	9240	1332
874	9246	1320
875	9257	1310
876	9262	1299
877	9270	1288
878	9279	1277
879	9286	1266
880	9292	1255
881	9298	1244
882	9306	1233
883	9312	1222
884	9321	1211
885	9327	1200
886	9336	1189
887	9342	1178
888	9347	1167
889	9355	1156
890	9361	1145
891	9368	1134
892	9376	1123
893	9383	1112
894	9388	1101
895	9395	1090
896	9403	1079
897	9409	1068
898	9417	1058
899	9422	1046
900	9428	1036
901	9435	1025
902	9441	1014
903	9448	1003
904	9455	992
905	9461	981
906	9468	970
907	9474	960
908	9482	949
909	9491	938
910	9498	927
911	9504	917
912	9510	906
913	9517	895
914	9523	884
915	9530	873
916	9537	863
917	9543	852
918	9551	841
919	9557	831
920	9564	820
921	9570	809
922	9576	798
923	9585	788
924	9591	777
925	9600	767
926	9605	756
927	9613	745
928	9619	735
929	9625	724
930	9632	713
931	9638	703
932	9646	692
933	9652	682
934	9657	671
935	9664	660
936	9670	650
937	9677	639
938	9685	629
939	9692	618
940	9699	608
941	9704	597
942	9712	587
943	9718	576
944	9724	565
945	9731	555
946	9737	544
947	9745	534
948	9751	524
949	9758	513
950	9764	503
951	9770	492
952	9777	482
953	9783	471
954	9789	461
955	9798	450
956	9805	440
957	9813	430
958	9819	419
959	9826	409
960	9832	399
961	9838	388
962	9845	378
963	9851	367
964	9859	357
965	9865	347
966	9871	336
967	9878	326
968	9883	316
969	9891	305
970	9901	295
971	9909	285
972	9916	275
973	9926	264
974	9933	254
975	9943	244
976	9951	234
977	9959	224
978	9967	213
979	9973	203
980	9979	193
981	9985	183
982	9992	172
983	9998	162
984	10006	152
985	10013	142
986	10021	131
987	10027	121
988	10033	111
989	10041	101
990	10047	91
991	10054	81
992	10060	70
993	10066	60
994	10073	50
995	10078	40
996	10085	30
997	10092	20
998	10098	10
999	10106	0
